Episode;Step;Reward
1;249;-0.020346088790893592
1;499;-0.03190473624467853
1;749;-0.05825212755203251
1;999;-0.0331579909563065
1;1249;0.00045092321038242567
1;1499;-0.012676535630226173
1;1749;-0.0032149092197418586
1;1999;0.014696487328410113
1;2249;0.008637192016839945
1;2499;0.0018652676701545329
1;2749;0.008264219677448236
1;2999;0.024331349050998652
1;3249;0.019644302791357003
1;3499;0.021831797724962198
1;3749;0.031107665142416918
1;3999;0.021632038718461956
1;4249;0.0037341310739516832
1;4499;0.01887604883909222
1;4749;0.03394550039470192
1;4999;0.035244068792462314
1;5249;0.035125265559554066
1;5499;0.0389232265859842
1;5749;0.035460051065683326
1;5999;0.03596186778545376
1;6249;0.03834314002692696
1;6499;0.04252895695194599
1;6749;0.008407454109191859
1;6999;0.020969827389717064
1;7249;0.038355303472280465
1;7499;0.026691645300388298
1;7749;0.02457227549552914
1;7999;0.030115272021293604
1;8249;0.03279748774170872
1;8499;0.04129672973453995
1;8749;0.03313073731064793
1;8999;0.03485796592235561
1;9249;0.044282647511362995
1;9499;0.0382089330911636
1;9749;0.03421770772933956
1;9999;0.038614877229928936
1;10249;0.044826918663829526
1;10499;0.03335569343566891
1;10749;0.03404898933172222
1;10999;0.041116357138752904
1;11249;0.04077936886847015
1;11499;0.023928341186046562
1;11749;0.01136194012165066
1;11999;0.02552434495687481
1;12249;0.039147580704092945
1;12499;0.037364978259801826
1;12749;0.04188774191811677
1;12999;0.0384876540958881
1;13249;0.03697894877791401
1;13499;0.03878035387992855
1;13749;0.04327618117481467
1;13999;0.04130120567083355
1;14249;0.010828448748588525
1;14499;0.02660813472270962
1;14749;0.04187862194180485
1;14999;0.02430701098442074
1;15249;0.02670302829742428
1;15499;0.032366721248626676
1;15749;0.03922114289402958
1;15999;0.047179548265784944
1;16249;0.04453822924792763
1;16499;0.04066351643800732
1;16749;0.04734805273860689
1;16999;0.041132678008079494
1;17249;0.03817805490493771
1;17499;0.04316413990259167
1;17749;0.0480512128308415
1;17999;0.01817870876789089
1;18249;0.031033870494365658
1;18499;0.041758738002181016
1;18749;0.04290844081938263
